FID,CSA2010,CSA2010_1,hfai12,hfai15,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,Allendale/Irvington/S. Hilton,7.75,7.526315789,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,Beechfield/Ten Hills/West Hills,15.58333333,10.4,37524.9505333862,47882527.7112373
3,Belair-Edison,Belair-Edison,10.32608696,8.227272727,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,Brooklyn/Curtis Bay/Hawkins Point,8.58823529,8.793103448,150987.70363871,176077742.748461
5,Canton,Canton,16.9,15.2,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,Cedonia/Frankford,12.33333333,8.956521739,39962.5498346887,71541340.306082
7,Cherry Hill,Cherry Hill,8.78571429,7.875,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,Chinquapin Park/Belvedere,15.25,8.666666667,21705.411630324,21022590.1303212
9,Claremont/Armistead,Claremont/Armistead,7.35,6.545454545,40104.4159801772,61243774.4204004
10,Clifton-Berea,Clifton-Berea,8.78125,8.15,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,Cross-Country/Cheswolde,0,0,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,Dickeyville/Franklintown,0,2,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,Dorchester/Ashburton,9.95833333,7.733333333,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,Downtown/Seton Hill,6.70588235,8.931818182,21565.8593945388,20736554.4071934
15,Edmondson Village,Edmondson Village,6.42857143,7.166666667,21504.5513578719,23563061.0426838
16,Fells Point,Fells Point,10.2,11.25,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,Forest Park/Walbrook,7.83333333,9.9375,36886.899781185,37200535.0297002
18,Glen-Fallstaff,Glen-Fallstaff,10.29310345,9.145833333,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,Greater Charles Village/Barclay,15.32608696,10.87931034,26454.2692113378,27051213.4555493
20,Greater Govans,Greater Govans,8.90909091,9.666666667,22982.1257150065,22698495.7172767
21,Greater Mondawmin,Greater Mondawmin,13.95454545,9.730769231,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,11.75,8.214285714,39862.7497953315,56688145.179702
23,Greater Rosemont,Greater Rosemont,6.86764706,7.512820513,32559.0762212062,42204384.5422658
24,Greenmount East,Greenmount East,9.575,10.18421053,20797.473457859,19072287.8238042
25,Hamilton,Hamilton,8.84375,7.961538462,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,Harbor East/Little Italy,11.76923077,10.39285714,18552.4075815481,10215859.0840198
27,Harford/Echodale,Harford/Echodale,9.91666667,8.653846154,40019.1854001864,65360039.1701278
28,Highlandtown,Highlandtown,13.93333333,13.88888889,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,Howard Park/West Arlington,10.2,9.076923077,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,Inner Harbor/Federal Hill,12.42857143,8.5,43415.0595477941,24995836.2620936
31,Lauraville,Lauraville,11.5,9.25,34419.6765281197,49665744.2382935
32,Loch Raven,Loch Raven,15.3125,10.5,29314.3346718106,44147812.3259686
33,Madison/East End,Madison/East End,10.08695652,9.711538462,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,Medfield/Hampden/Woodberry/Remington,10.425,9.727272727,43152.6256992199,62441489.2397897
35,Midtown,Midtown,13,11.17391304,25020.0969697781,23823949.929494
36,Midway/Coldstream,Midway/Coldstream,8.02272727,9.145833333,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,Morrell Park/Violetville,10.4375,9.136363636,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,Mount Washington/Coldspring,24.75,28.5,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,7.52941176,8,42904.2221443837,74923987.6939622
40,Northwood,Northwood,8.85714286,9.142857143,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,Oldtown/Middle East,8.39285714,8.884615385,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,Orangeville/East Highlandtown,8.61904762,8.944444444,47825.8629265765,89894372.2114828
43,Patterson Park North & East,Patterson Park North & East,12.65,10.8,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,Penn North/Reservoir Hill,7,7.733333333,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,Pimlico/Arlington/Hilltop,9.75,7.97826087,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,Poppleton/The Terraces/Hollins Market,8.45454545,10.66666667,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,Sandtown-Winchester/Harlem Park,9.39393939,9.14,20987.1433066415,23672092.8680536
48,South Baltimore,South Baltimore,18.08333333,14,68440.0258267645,46353935.42529
49,Southeastern,Southeastern,7.16666667,12.31818182,102291.480547452,111251478.472831
50,Southern Park Heights,Southern Park Heights,11.72222222,10.3,24052.2213722085,27876227.5906738
51,Southwest Baltimore,Southwest Baltimore,10.26530612,8.921052632,28355.5635813649,37766068.8367913
52,The Waverlies,The Waverlies,15.1,10.8,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,Upton/Druid Heights,9.80555556,8.45,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,Washington Village/Pigtown,9.80555556,9,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,Westport/Mount Winans/Lakeland,14.36666667,11.33333333,42573.1244161893,45494092.9497963
